Age,Gender,Budget,Interest_1,Interest_2,Rating,Spot,State
31,M,1900,Beach,Relaxation,4.8,Anjuna Beach,Goa
31,F,1900,Beach,Relaxation,4.8,Anjuna Beach,Goa
33,F,2100,Beach,Cuisine,4.8,Anjuna Beach,Goa
30,F,2000,Beach,Cuisine,4.8,Anjuna Beach,Goa
31,M,2300,Beach,Cuisine,4.8,Anjuna Beach,Goa
32,F,1900,Beach,Cuisine,4.8,Anjuna Beach,Goa
30,F,2100,Beach,Cuisine,4.8,Anjuna Beach,Goa
30,F,1900,Beach,Nightlife,4.8,Benaulim Beach,Goa
30,F,1900,Beach,Nightlife,4.8,Benaulim Beach,Goa
30,F,1900,Beach,Nightlife,4.8,Benaulim Beach,Goa
30,F,1900,Beach,Nightlife,4.8,Benaulim Beach,Goa
30,M,2000,Beach,Nightlife,4.8,Benaulim Beach,Goa
33,M,2300,Beach,Shopping,4.8,Benaulim Beach,Goa
33,M,2200,Beach,Shopping,4.8,Benaulim Beach,Goa
34,F,2300,Beach,Shopping,4.8,Benaulim Beach,Goa
33,M,2100,Beach,Shopping,4.8,Benaulim Beach,Goa
35,M,2200,Beach,Shopping,4.8,Benaulim Beach,Goa
35,F,2100,Beach,Shopping,4.8,Benaulim Beach,Goa
34,M,2300,Beach,Shopping,4.8,Benaulim Beach,Goa
33,M,2000,Beach,Shopping,4.8,Benaulim Beach,Goa
33,F,2100,Beach,Shopping,4.8,Benaulim Beach,Goa
34,M,2200,Beach,Shopping,4.8,Benaulim Beach,Goa
34,F,1900,Beach,Shopping,4.8,Benaulim Beach,Goa
32,M,1700,Beach,Nightlife,4.8,Benaulim Beach,Goa
31,M,1500,Beach,Nightlife,4.8,Benaulim Beach,Goa
34,F,2000,Beach,Nightlife,4.8,Benaulim Beach,Goa
29,F,1600,Beach,Nightlife,4.8,Benaulim Beach,Goa
35,F,1800,Beach,Nightlife,4.8,Benaulim Beach,Goa
31,M,2100,Beach,Relaxation,4.8,Candolim Beach,Goa
30,M,1700,Beach,Relaxation,4.8,Candolim Beach,Goa
31,F,1600,Beach,Relaxation,4.8,Candolim Beach,Goa
36,M,2100,Beach,Relaxation,4.8,Colva Beach,Goa
35,M,2100,Beach,Relaxation,4.8,Colva Beach,Goa
35,M,2100,Beach,Relaxation,4.8,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.8,Colva Beach,Goa
35,F,2100,Beach,Relaxation,4.8,Colva Beach,Goa
35,F,2100,Beach,Relaxation,4.8,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.8,Colva Beach,Goa
33,F,2300,Beach,Relaxation,4.8,Majorda Beach,Goa
30,M,2500,Beach,Nightlife,4.8,Mobor Beach,Goa
32,M,1300,Beach,Adventure,4.8,Vagator Beach,Goa
30,F,1900,Beach,Cuisine,4.8,Varca Beach,Goa
31,F,2200,Beach,Relaxation,4.8,Varca Beach,Goa
35,M,2500,Beach,Cuisine,4.7,Anjuna Beach,Goa
35,M,2500,Beach,Cuisine,4.7,Anjuna Beach,Goa
28,F,1900,Beach,Water Sports,4.7,Anjuna Beach,Goa
28,F,1900,Beach,Water Sports,4.7,Anjuna Beach,Goa
29,F,1900,Beach,Water Sports,4.7,Anjuna Beach,Goa
27,F,1900,Beach,Water Sports,4.7,Anjuna Beach,Goa
30,M,2000,Beach,Relaxation,4.7,Anjuna Beach,Goa
30,F,1900,Beach,Relaxation,4.7,Anjuna Beach,Goa
31,F,1900,Beach,Relaxation,4.7,Anjuna Beach,Goa
30,M,2000,Beach,Relaxation,4.7,Anjuna Beach,Goa
31,F,1900,Beach,Relaxation,4.7,Anjuna Beach,Goa
30,F,2000,Beach,Relaxation,4.7,Anjuna Beach,Goa
35,M,2000,Beach,Cuisine,4.7,Anjuna Beach,Goa
35,M,2400,Beach,Cuisine,4.7,Anjuna Beach,Goa
33,M,2000,Beach,Cuisine,4.7,Anjuna Beach,Goa
30,M,2500,Beach,Cuisine,4.7,Anjuna Beach,Goa
30,F,1800,Beach,Cuisine,4.7,Anjuna Beach,Goa
34,F,2300,Beach,Cuisine,4.7,Anjuna Beach,Goa
31,M,2400,Beach,Cuisine,4.7,Anjuna Beach,Goa
30,F,1800,Beach,Cuisine,4.7,Anjuna Beach,Goa
33,M,2000,Beach,Nightlife,4.7,Ashwem Beach,Goa
32,M,1800,Beach,Relaxation,4.7,Ashwem Beach,Goa
32,F,2100,Beach,Nightlife,4.7,Ashwem Beach,Goa
33,M,1900,Beach,Nightlife,4.7,Ashwem Beach,Goa
32,M,1900,Beach,Nightlife,4.7,Ashwem Beach,Goa
33,M,1900,Beach,Nightlife,4.7,Ashwem Beach,Goa
32,F,1800,Beach,Nightlife,4.7,Ashwem Beach,Goa
34,M,2000,Beach,Shopping,4.7,Benaulim Beach,Goa
35,F,2100,Beach,Shopping,4.7,Benaulim Beach,Goa
34,M,2100,Beach,Shopping,4.7,Benaulim Beach,Goa
34,M,1900,Beach,Shopping,4.7,Benaulim Beach,Goa
33,M,2200,Beach,Shopping,4.7,Benaulim Beach,Goa
35,F,2300,Beach,Shopping,4.7,Benaulim Beach,Goa
35,M,1900,Beach,Shopping,4.7,Benaulim Beach,Goa
30,M,1600,Beach,Nightlife,4.7,Benaulim Beach,Goa
29,M,1800,Beach,Nightlife,4.7,Benaulim Beach,Goa
33,F,1500,Beach,Nightlife,4.7,Benaulim Beach,Goa
32,F,1800,Beach,Nightlife,4.7,Benaulim Beach,Goa
34,M,2000,Beach,Nightlife,4.7,Benaulim Beach,Goa
28,F,1600,Beach,Nightlife,4.7,Benaulim Beach,Goa
30,M,1600,Beach,Nightlife,4.7,Benaulim Beach,Goa
32,F,1500,Beach,Nightlife,4.7,Benaulim Beach,Goa
35,M,1900,Beach,Nightlife,4.7,Benaulim Beach,Goa
34,F,1800,Beach,Nightlife,4.7,Benaulim Beach,Goa
35,F,2000,Beach,Nightlife,4.7,Benaulim Beach,Goa
27,M,1600,Beach,Relaxation,4.7,Candolim Beach,Goa
28,F,1700,Beach,Relaxation,4.7,Candolim Beach,Goa
27,M,1900,Beach,Relaxation,4.7,Candolim Beach,Goa
35,M,2000,Beach,Relaxation,4.7,Colva Beach,Goa
35,F,2100,Beach,Relaxation,4.7,Colva Beach,Goa
36,M,2100,Beach,Relaxation,4.7,Colva Beach,Goa
35,F,2000,Beach,Relaxation,4.7,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.7,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.7,Colva Beach,Goa
31,F,2200,Beach,Water Sports,4.8,Vagator Beach,Goa
35,M,1300,Beach,Adventure,4.7,Varca Beach,Goa
31,F,2200,Beach,Relaxation,4.7,Varca Beach,Goa
30,F,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,M,2000,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,F,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
31,F,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,F,2000,Beach,Relaxation,4.6,Anjuna Beach,Goa
31,F,2000,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,F,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,M,2000,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,F,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,M,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
30,M,1900,Beach,Relaxation,4.6,Anjuna Beach,Goa
31,F,2000,Beach,Relaxation,4.6,Anjuna Beach,Goa
33,F,2300,Beach,Cuisine,4.6,Anjuna Beach,Goa
35,M,2500,Beach,Cuisine,4.6,Anjuna Beach,Goa
31,M,1900,Beach,Cuisine,4.6,Anjuna Beach,Goa
31,F,2300,Beach,Cuisine,4.6,Anjuna Beach,Goa
31,M,2200,Beach,Cuisine,4.6,Anjuna Beach,Goa
32,M,2000,Beach,Nightlife,4.6,Ashwem Beach,Goa
33,M,2200,Beach,Nightlife,4.6,Ashwem Beach,Goa
32,F,2000,Beach,Nightlife,4.6,Ashwem Beach,Goa
33,F,2200,Beach,Nightlife,4.6,Ashwem Beach,Goa
33,F,2200,Beach,Nightlife,4.6,Ashwem Beach,Goa
32,M,2300,Beach,Nightlife,4.6,Ashwem Beach,Goa
32,F,2000,Beach,Nightlife,4.6,Ashwem Beach,Goa
33,M,2100,Beach,Nightlife,4.6,Ashwem Beach,Goa
32,F,2300,Beach,Nightlife,4.6,Ashwem Beach,Goa
31,M,2100,Beach,Relaxation,4.6,Candolim Beach,Goa
27,F,1900,Beach,Relaxation,4.6,Candolim Beach,Goa
35,F,2000,Beach,Relaxation,4.6,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.6,Colva Beach,Goa
35,M,2100,Beach,Relaxation,4.6,Colva Beach,Goa
30,F,1200,Beach,Adventure,4.6,Palolem Beach,Goa
29,M,1800,Beach,Relaxation,4.6,Palolem Beach,Goa
31,F,2200,Beach,Relaxation,4.6,Varca Beach,Goa
30,F,1900,Beach,Relaxation,4.5,Anjuna Beach,Goa
31,M,2000,Beach,Relaxation,4.5,Anjuna Beach,Goa
31,F,2000,Beach,Relaxation,4.5,Anjuna Beach,Goa
31,M,2000,Beach,Relaxation,4.5,Anjuna Beach,Goa
33,F,2000,Beach,Cuisine,4.5,Anjuna Beach,Goa
31,F,2100,Beach,Cuisine,4.5,Anjuna Beach,Goa
33,M,2300,Beach,Cuisine,4.5,Anjuna Beach,Goa
25,M,1200,Beach,Adventure,4.5,Arambol Beach,Goa
33,F,1800,Beach,Nightlife,4.5,Ashwem Beach,Goa
32,M,2000,Beach,Nightlife,4.5,Ashwem Beach,Goa
32,M,2100,Beach,Nightlife,4.5,Ashwem Beach,Goa
32,F,2300,Beach,Nightlife,4.5,Ashwem Beach,Goa
33,F,2100,Beach,Nightlife,4.5,Ashwem Beach,Goa
32,M,2200,Beach,Shopping,4.5,Baga Beach,Goa
31,M,2100,Beach,Shopping,4.5,Baga Beach,Goa
28,M,1700,Beach,Water Sports,4.5,Baga Beach,Goa
27,M,1700,Beach,Water Sports,4.5,Baga Beach,Goa
31,M,2000,Beach,Shopping,4.5,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.5,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.5,Baga Beach,Goa
27,M,1700,Beach,Water Sports,4.5,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.5,Baga Beach,Goa
27,F,1800,Beach,Water Sports,4.5,Baga Beach,Goa
27,F,1700,Beach,Water Sports,4.5,Baga Beach,Goa
28,F,1800,Beach,Water Sports,4.5,Baga Beach,Goa
28,M,1700,Beach,Water Sports,4.5,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.5,Baga Beach,Goa
28,F,1800,Beach,Water Sports,4.5,Baga Beach,Goa
28,F,1200,Beach,Adventure,4.5,Butterfly Beach,Goa
32,M,1300,Beach,Adventure,4.5,Butterfly Beach,Goa
31,F,2300,Beach,Cuisine,4.5,Candolim Beach,Goa
31,M,2100,Beach,Relaxation,4.5,Candolim Beach,Goa
31,F,1900,Beach,Relaxation,4.5,Candolim Beach,Goa
28,F,2000,Beach,Relaxation,4.5,Candolim Beach,Goa
30,M,1700,Beach,Relaxation,4.5,Candolim Beach,Goa
30,F,1600,Beach,Relaxation,4.5,Candolim Beach,Goa
29,F,1800,Beach,Relaxation,4.5,Candolim Beach,Goa
31,F,2700,Beach,Water Sports,4.5,Colva Beach,Goa
32,F,2700,Beach,Water Sports,4.5,Colva Beach,Goa
31,M,2500,Beach,Water Sports,4.5,Colva Beach,Goa
32,M,2700,Beach,Water Sports,4.5,Colva Beach,Goa
31,F,2200,Beach,Water Sports,4.5,Colva Beach,Goa
31,F,2200,Beach,Water Sports,4.5,Colva Beach,Goa
33,F,2300,Beach,Water Sports,4.5,Galgibaga Beach,Goa
33,F,1200,Beach,Adventure,4.5,Miramar Beach,Goa
31,M,2000,Beach,Nightlife,4.5,Mobor Beach,Goa
31,M,2000,Beach,Nightlife,4.5,Mobor Beach,Goa
31,M,2000,Beach,Nightlife,4.5,Mobor Beach,Goa
31,M,2000,Beach,Nightlife,4.5,Mobor Beach,Goa
28,F,1700,Beach,Relaxation,4.5,Vagator Beach,Goa
28,F,1600,Beach,Relaxation,4.5,Varca Beach,Goa
31,F,2300,Beach,Nightlife,4.4,Arambol Beach,Goa
31,F,2300,Beach,Nightlife,4.4,Arambol Beach,Goa
31,F,2300,Beach,Nightlife,4.4,Arambol Beach,Goa
31,F,2300,Beach,Nightlife,4.4,Arambol Beach,Goa
32,M,1800,Beach,Relaxation,4.4,Ashwem Beach,Goa
31,M,1900,Beach,Shopping,4.4,Baga Beach,Goa
32,F,2000,Beach,Shopping,4.4,Baga Beach,Goa
31,F,2100,Beach,Shopping,4.4,Baga Beach,Goa
28,M,1700,Beach,Water Sports,4.4,Baga Beach,Goa
27,F,1800,Beach,Water Sports,4.4,Baga Beach,Goa
28,M,1700,Beach,Water Sports,4.4,Baga Beach,Goa
27,F,1700,Beach,Water Sports,4.4,Baga Beach,Goa
27,M,1800,Beach,Water Sports,4.4,Baga Beach,Goa
27,F,1800,Beach,Water Sports,4.4,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.4,Baga Beach,Goa
28,M,1700,Beach,Water Sports,4.4,Baga Beach,Goa
28,M,1800,Beach,Water Sports,4.4,Baga Beach,Goa
28,F,1700,Beach,Water Sports,4.4,Baga Beach,Goa
27,M,1800,Beach,Water Sports,4.4,Baga Beach,Goa
28,F,1800,Beach,Water Sports,4.4,Baga Beach,Goa
33,F,1900,Beach,Water Sports,4.4,Benaulim Beach,Goa
34,M,2000,Beach,Water Sports,4.4,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.4,Benaulim Beach,Goa
34,F,2000,Beach,Water Sports,4.4,Benaulim Beach,Goa
34,F,2000,Beach,Water Sports,4.4,Benaulim Beach,Goa
34,F,1900,Beach,Water Sports,4.4,Benaulim Beach,Goa
34,M,1900,Beach,Water Sports,4.4,Benaulim Beach,Goa
30,M,1300,Beach,Adventure,4.4,Butterfly Beach,Goa
29,M,1200,Beach,Adventure,4.4,Butterfly Beach,Goa
33,F,1200,Beach,Adventure,4.4,Butterfly Beach,Goa
31,M,1300,Beach,Adventure,4.4,Butterfly Beach,Goa
31,F,1200,Beach,Adventure,4.4,Butterfly Beach,Goa
28,M,1000,Beach,Adventure,4.4,Candolim Beach,Goa
27,M,1500,Beach,Relaxation,4.4,Candolim Beach,Goa
27,F,1700,Beach,Water Sports,4.4,Candolim Beach,Goa
27,F,1700,Beach,Water Sports,4.4,Candolim Beach,Goa
27,M,1700,Beach,Water Sports,4.4,Candolim Beach,Goa
28,F,1600,Beach,Relaxation,4.4,Candolim Beach,Goa
32,F,2300,Beach,Cuisine,4.4,Candolim Beach,Goa
32,M,2000,Beach,Cuisine,4.4,Candolim Beach,Goa
32,F,2400,Beach,Water Sports,4.4,Colva Beach,Goa
31,M,2200,Beach,Water Sports,4.4,Colva Beach,Goa
32,F,2200,Beach,Water Sports,4.4,Colva Beach,Goa
32,M,2700,Beach,Water Sports,4.4,Colva Beach,Goa
32,F,2200,Beach,Water Sports,4.4,Colva Beach,Goa
32,M,2200,Beach,Water Sports,4.4,Colva Beach,Goa
31,M,2200,Beach,Water Sports,4.4,Colva Beach,Goa
32,M,2500,Beach,Water Sports,4.4,Colva Beach,Goa
31,M,2500,Beach,Water Sports,4.4,Colva Beach,Goa
30,F,2200,Beach,Cuisine,4.4,Miramar Beach,Goa
31,M,2100,Beach,Nightlife,4.4,Miramar Beach,Goa
29,M,1800,Beach,Relaxation,4.4,Palolem Beach,Goa
28,F,1700,Beach,Water Sports,4.3,Agonda Beach,Goa
30,F,1500,Beach,Adventure,4.3,Anjuna Beach,Goa
33,M,2200,Beach,Nightlife,4.3,Arambol Beach,Goa
34,F,2000,Beach,Nightlife,4.3,Arambol Beach,Goa
31,M,2300,Beach,Nightlife,4.3,Arambol Beach,Goa
34,M,1700,Beach,Nightlife,4.3,Arambol Beach,Goa
34,F,1700,Beach,Nightlife,4.3,Arambol Beach,Goa
31,F,1800,Beach,Nightlife,4.3,Arambol Beach,Goa
34,M,1700,Beach,Nightlife,4.3,Arambol Beach,Goa
32,M,1600,Beach,Nightlife,4.3,Arambol Beach,Goa
31,M,2100,Beach,Shopping,4.3,Ashwem Beach,Goa
34,F,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,M,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,F,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,F,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,F,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,M,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
33,F,2000,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
34,M,1900,Beach,Water Sports,4.3,Benaulim Beach,Goa
30,M,1300,Beach,Adventure,4.3,Butterfly Beach,Goa
31,F,1200,Beach,Adventure,4.3,Butterfly Beach,Goa
30,F,1200,Beach,Adventure,4.3,Butterfly Beach,Goa
30,M,1300,Beach,Adventure,4.3,Candolim Beach,Goa
32,F,2100,Beach,Cuisine,4.3,Candolim Beach,Goa
27,F,1700,Beach,Water Sports,4.3,Candolim Beach,Goa
27,M,1700,Beach,Water Sports,4.3,Candolim Beach,Goa
28,F,1700,Beach,Water Sports,4.3,Candolim Beach,Goa
27,M,1600,Beach,Water Sports,4.3,Candolim Beach,Goa
28,F,1700,Beach,Water Sports,4.3,Candolim Beach,Goa
28,F,1600,Beach,Water Sports,4.3,Candolim Beach,Goa
27,F,1600,Beach,Water Sports,4.3,Candolim Beach,Goa
28,M,1700,Beach,Water Sports,4.3,Candolim Beach,Goa
31,M,1800,Beach,Relaxation,4.3,Candolim Beach,Goa
28,M,2100,Beach,Relaxation,4.3,Candolim Beach,Goa
28,M,1700,Beach,Relaxation,4.3,Candolim Beach,Goa
31,F,1700,Beach,Relaxation,4.3,Candolim Beach,Goa
29,M,2100,Beach,Relaxation,4.3,Candolim Beach,Goa
31,F,2300,Beach,Cuisine,4.3,Candolim Beach,Goa
32,F,2000,Beach,Cuisine,4.3,Candolim Beach,Goa
31,F,2100,Beach,Cuisine,4.3,Candolim Beach,Goa
32,F,2100,Beach,Cuisine,4.3,Candolim Beach,Goa
32,M,2200,Beach,Cuisine,4.3,Candolim Beach,Goa
31,M,2000,Beach,Cuisine,4.3,Candolim Beach,Goa
32,M,2000,Beach,Cuisine,4.3,Candolim Beach,Goa
31,M,2100,Beach,Water Sports,4.3,Colva Beach,Goa
32,F,2200,Beach,Water Sports,4.3,Colva Beach,Goa
32,M,2700,Beach,Water Sports,4.3,Colva Beach,Goa
32,M,2700,Beach,Water Sports,4.3,Colva Beach,Goa
31,M,2300,Beach,Water Sports,4.3,Colva Beach,Goa
31,F,2500,Beach,Water Sports,4.3,Colva Beach,Goa
29,M,2100,Beach,Nightlife,4.3,Galgibaga Beach,Goa
29,M,2100,Beach,Nightlife,4.3,Galgibaga Beach,Goa
29,M,2100,Beach,Nightlife,4.3,Galgibaga Beach,Goa
29,M,2100,Beach,Nightlife,4.3,Galgibaga Beach,Goa
30,F,1900,Beach,Water Sports,4.3,Mobor Beach,Goa
28,F,1800,Beach,Relaxation,4.5,Palolem Beach,Goa
32,F,2000,Beach,Cuisine,4.3,Vagator Beach,Goa
28,F,1700,Beach,Relaxation,4.3,Vagator Beach,Goa
28,F,1600,Beach,Relaxation,4.3,Varca Beach,Goa
27,F,1700,Beach,Water Sports,4.2,Agonda Beach,Goa
27,F,1800,Beach,Water Sports,4.2,Agonda Beach,Goa
27,M,1700,Beach,Water Sports,4.2,Agonda Beach,Goa
27,F,1800,Beach,Water Sports,4.2,Agonda Beach,Goa
28,M,1700,Beach,Water Sports,4.2,Agonda Beach,Goa
31,F,2200,Beach,Nightlife,4.2,Arambol Beach,Goa
31,M,1600,Beach,Nightlife,4.2,Arambol Beach,Goa
31,M,1700,Beach,Nightlife,4.2,Arambol Beach,Goa
33,M,1700,Beach,Nightlife,4.2,Arambol Beach,Goa
34,F,1600,Beach,Nightlife,4.2,Arambol Beach,Goa
34,F,2300,Beach,Nightlife,4.2,Arambol Beach,Goa
33,F,2100,Beach,Nightlife,4.2,Arambol Beach,Goa
34,M,1600,Beach,Nightlife,4.2,Arambol Beach,Goa
32,F,2000,Beach,Nightlife,4.2,Arambol Beach,Goa
33,F,1900,Beach,Nightlife,4.2,Arambol Beach,Goa
32,F,1900,Beach,Nightlife,4.2,Arambol Beach,Goa
27,F,1400,Beach,Adventure,4.2,Ashwem Beach,Goa
32,F,2000,Beach,Nightlife,4.2,Baga Beach,Goa
32,F,2000,Beach,Nightlife,4.2,Baga Beach,Goa
32,F,2000,Beach,Nightlife,4.2,Baga Beach,Goa
32,F,2000,Beach,Nightlife,4.2,Baga Beach,Goa
26,M,1400,Beach,Relaxation,4.2,Baga Beach,Goa
31,F,2000,Beach,Nightlife,4.2,Baga Beach,Goa
31,M,1700,Beach,Nightlife,4.2,Baga Beach,Goa
26,F,1500,Beach,Relaxation,4.2,Baga Beach,Goa
27,M,1500,Beach,Relaxation,4.2,Baga Beach,Goa
27,M,1400,Beach,Relaxation,4.2,Baga Beach,Goa
27,M,1500,Beach,Relaxation,4.2,Baga Beach,Goa
27,M,1500,Beach,Relaxation,4.2,Baga Beach,Goa
27,F,1400,Beach,Relaxation,4.2,Baga Beach,Goa
26,F,1500,Beach,Relaxation,4.2,Baga Beach,Goa
32,M,2100,Beach,Shopping,4.2,Baga Beach,Goa
30,F,1900,Beach,Shopping,4.2,Baga Beach,Goa
28,M,1300,Beach,Adventure,4.2,Butterfly Beach,Goa
28,M,1200,Beach,Adventure,4.2,Butterfly Beach,Goa
34,F,1300,Beach,Adventure,4.2,Butterfly Beach,Goa
29,F,1900,Beach,Shopping,4.2,Calangute Beach,Goa
27,M,1800,Beach,Shopping,4.2,Calangute Beach,Goa
30,F,1700,Beach,Shopping,4.2,Calangute Beach,Goa
27,M,1600,Beach,Shopping,4.2,Calangute Beach,Goa
35,F,1400,Beach,Adventure,4.2,Candolim Beach,Goa
35,F,1400,Beach,Adventure,4.2,Candolim Beach,Goa
28,M,1600,Beach,Water Sports,4.2,Candolim Beach,Goa
28,F,1600,Beach,Water Sports,4.2,Candolim Beach,Goa
28,F,1700,Beach,Water Sports,4.2,Candolim Beach,Goa
28,M,1600,Beach,Water Sports,4.2,Candolim Beach,Goa
28,F,1600,Beach,Relaxation,4.2,Candolim Beach,Goa
30,M,1700,Beach,Relaxation,4.2,Candolim Beach,Goa
29,M,1500,Beach,Relaxation,4.2,Candolim Beach,Goa
32,F,2000,Beach,Cuisine,4.2,Candolim Beach,Goa
31,M,2100,Beach,Cuisine,4.2,Candolim Beach,Goa
31,M,2000,Beach,Cuisine,4.2,Candolim Beach,Goa
31,F,2100,Beach,Cuisine,4.2,Candolim Beach,Goa
34,M,2000,Beach,Nightlife,4.2,Colva Beach,Goa
32,F,2000,Beach,Cuisine,4.2,Galgibaga Beach,Goa
32,F,2000,Beach,Cuisine,4.2,Galgibaga Beach,Goa
33,F,2300,Beach,Water Sports,4.3,Galgibaga Beach,Goa
28,M,1700,Beach,Relaxation,4.2,Galgibaga Beach,Goa
28,M,1000,Beach,Adventure,4.2,Vagator Beach,Goa
31,M,1900,Beach,Nightlife,4.2,Vagator Beach,Goa
29,M,1800,Beach,Shopping,4.2,Vagator Beach,Goa
28,M,1700,Beach,Relaxation,4.4,Vagator Beach,Goa
34,M,1900,Beach,Cuisine,4.2,Varca Beach,Goa
30,F,1900,Beach,Cuisine,4.2,Varca Beach,Goa
29,F,1900,Beach,Relaxation,4.5,Varca Beach,Goa
27,F,1700,Beach,Water Sports,4.1,Agonda Beach,Goa
28,F,1700,Beach,Water Sports,4.1,Agonda Beach,Goa
27,M,1700,Beach,Water Sports,4.1,Agonda Beach,Goa
28,M,1700,Beach,Water Sports,4.1,Agonda Beach,Goa
28,M,1800,Beach,Water Sports,4.1,Agonda Beach,Goa
27,F,1800,Beach,Water Sports,4.1,Agonda Beach,Goa
28,F,1800,Beach,Water Sports,4.1,Agonda Beach,Goa
